user,date,content,replyCount,retweetCount,likeCount
TonyRobbins,[   6    2 2021],Tony Robbins: How To Survive An Economic Winter via @forbes https://t.co/2mpe3Sa4uD,29,76,349
TonyRobbins,[   5    2 2021],"It’s not what we do once in a while that shapes our lives — it’s what we do consistently. #HumorSeriously, the new book by Dr. Jennifer Aaker and Naomi Bagdonas, is about creating a lasting mindset shift around the importance of humor. Check it out! https://t.co/ZyBgy1jUkF",18,48,241
TonyRobbins,[   4    1 2021],I'm LIVE with my friend @pitbull NOW! Join us here: https://t.co/WNkxFYXlGQ,34,13,160
TonyRobbins,[   4    1 2021],"Join me TODAY for an All-Star Success LIVE event with @pitbull, @mariamenounos, @juliannehough, @derekhough, and @deangraziosi! We'll be going LIVE for an epic day of inspiration, training, and next-level immersion. Join us at 11:20AM PST | 2:30PM EST! https://t.co/WNkxFYXlGQ https://t.co/B99ZKRXPVj",28,17,165
TonyRobbins,[   4    1 2021],"Join me TOMORROW for an All Star Success LIVE event. We're going to unleash a WHOLE new level! I’m talking about @pitbull, @derekhough, @juliannehough, @mariamenounos, @deangraziosi... We'll be going LIVE Friday, Jan. 29 at 2:30PM EST — join us! https://t.co/PvckgYQax7 https://t.co/YrYMNTy9i0",33,42,354
TonyRobbins,[   4    1 2021],SURPRISE BONUS LIVE! 🔥 I'm going live one last time today for one more BONUS training and a Q&amp;A session! Join us here at 11am PST/2pm EST https://t.co/xHrKPew306 https://t.co/awV0BFKzAR,11,17,146
TonyRobbins,[   4    1 2021],"DAY 5 is LIVE!! If you're serious about overcoming absolutely anything and leaving the hardships of the last ten months behind... TODAY could be the most important 2 hours of your entire year.

 Join us NOW:  https://t.co/kxMtwJVvYO https://t.co/NXjLVVriyW",23,31,199
TonyRobbins,[   3    1 2021],I'm going LIVE in a few minutes for today’s free training to show you exactly how to create the #relationship you’ve always dreamed of! Join us LIVE today at 11AM PST | 2PM EST. See you there! Watch here: https://t.co/90NpjijgO5  #nwnychallenge https://t.co/bnpoTUKWmk,18,19,210
TonyRobbins,[   3    1 2021],"DAY 3 of the NEW WORLD NEW YOU CHALLENGE IS LIVE!! Join us https://t.co/vFv29ivZD2

If we learned anything in 2020, it’s that the world is going to throw us curveballs… Learn how to be prepared for anything that comes your way so that you can stay on track with your goals! https://t.co/5pXOke3eAl",17,31,210
TonyRobbins,[   3    1 2021],"You’re not here to be average.

And after today's training in my New World New You Challenge, you will know exactly what it takes to unlock your potential, go beyond average, and THRIVE.

Join me LIVE at 11AM PST | 2PM EST!

➡️ Sign up for FREE here: https://t.co/EnpqWj3vLG https://t.co/Rbe6EXI3wR",26,42,232
